Reference, Value, Footprint, Datasheet, MPN, Link
P105,CONN_01X05,Pin_Headers:Pin_Header_Straight_1x05,
P101,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02,
U101,LP2980IM5-3.0/NOPB,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,
C101,1U,Capacitors_SMD:C_0805_HandSoldering,
C102,1U,Capacitors_SMD:C_0805_HandSoldering,
R101,0,Resistors_SMD:R_0805_HandSoldering,
R102,10K,Resistors_SMD:R_0805_HandSoldering,
R103,10K,Resistors_SMD:R_0805_HandSoldering,
P103,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
P102,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
P104,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
P106,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
R201,1MEG,Resistors_SMD:R_1206_HandSoldering,,RC1206FR-071ML,http://parts.io/detail/880921/RC1206FR-071ML
C202,100p,Capacitors_SMD:C_0805_HandSoldering,
U201,MCP6404,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,MCP6404-E/SL,http://parts.io/detail/3584122/MCP6404-E%2FSL
PD201,VBPW34SR,DasBlinkinput:VPW34SR*,,VBPW34SR,http://parts.io/detail/2942714/VBPW34SR
C201,.1U,Capacitors_SMD:C_0805_HandSoldering,
U202,LM339,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,LM339DE4,http://parts.io/detail/916254/LM339DE4
R203,10K,Resistors_SMD:R_0805_HandSoldering,
R202,10K,Resistors_SMD:R_0805_HandSoldering,
RV201,POT,Current:P090L-02F25BR10K,,P090L-02F25BR10K,
C203,.1U,Capacitors_SMD:C_0805_HandSoldering,
P201,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
R301,1MEG,Resistors_SMD:R_1206_HandSoldering,,RC1206FR-071ML,http://parts.io/detail/880921/RC1206FR-071ML
C301,100p,Capacitors_SMD:C_0805_HandSoldering,
PD301,VBPW34SR,DasBlinkinput:VPW34SR*,,VBPW34SR,http://parts.io/detail/2942714/VBPW34SR
P301,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
R401,1MEG,Resistors_SMD:R_1206_HandSoldering,,RC1206FR-071ML,http://parts.io/detail/880921/RC1206FR-071ML
C401,100p,Capacitors_SMD:C_0805_HandSoldering,
PD401,VBPW34SR,DasBlinkinput:VPW34SR*,,VBPW34SR,http://parts.io/detail/2942714/VBPW34SR
P401,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
R501,1MEG,Resistors_SMD:R_1206_HandSoldering,,RC1206FR-071ML,http://parts.io/detail/880921/RC1206FR-071ML
C501,100p,Capacitors_SMD:C_0805_HandSoldering,
PD501,VBPW34SR,DasBlinkinput:VPW34SR*,,VBPW34SR,http://parts.io/detail/2942714/VBPW34SR
P501,CONN_01X01,Pin_Headers:Pin_Header_Straight_1x01,
